year,age0
1977,1.18
1978,0.39
1979,0.36
1980,0.64
1981,0.69
1982,0.93
1983,0.68
1984,0.9
1985,0.88
1986,0.62
1987,0.66
1988,0.66
1989,0.69
1990,0.78
1991,0.58
1992,0.42
1993,0.36
1994,0.42
1995,0.54
1996,0.4
1997,0.37
1998,0.34
1999,0.52
2000,0.5
2001,0.3
2002,0.26
2003,0.3
2004,0.3
2005,0.54
2006,0.74
2007,0.54
2008,0.8
2009,0.44
2010,0.53
2011,0.82
2012,1.21
2013,0.76
2014,0.25
2015,0.29
2016,0.28
2017,0.31
2018,0.23
2019,0.19
2020,0.22
2021,0.27
2022,0.2
2023,0.19
2024,0.3
2025,0.48
Mean 1977 - (Final year - 2),0.52
