year,Date,bay,site,cod.age.0,pollock.age.0,saffron.age.0,cod.age.1,cod.age.2,saffron.age.1,saffron.age.2,pollock.age.1,pink.smolt
2023,7/15/2023,Anton Larsen,Back Bay eelgrass,3,0,0,0,0,0,0,62,0
2023,7/17/2023,Anton Larsen,Back Bay eelgrass,7,0,0,1,0,1,0,62,1
2023,8/17/2023,Anton Larsen,Back Bay eelgrass,0,0,0,1,0,0,0,1,0
2023,8/18/2023,Anton Larsen,Back Bay eelgrass,0,0,0,0,0,0,0,3,0
2023,7/15/2023,Anton Larsen,Cobble point,2,0,0,2,0,0,0,0,1
2023,7/17/2023,Anton Larsen,Cobble point,1,0,0,2,0,0,0,0,2
2023,8/17/2023,Anton Larsen,Cobble point,2,1,0,8,0,0,0,0,0
2023,8/18/2023,Anton Larsen,Cobble point,4,0,0,2,0,0,0,0,0
2023,7/15/2023,Anton Larsen,Eelgrass patches,3,0,0,8,0,0,0,107,0
2023,7/17/2023,Anton Larsen,Eelgrass patches,3,0,0,5,0,0,0,0,0
2023,7/17/2023,Anton Larsen,Eelgrass patches,14,0,2,0,0,0,0,73,0
2023,8/17/2023,Anton Larsen,Eelgrass patches,7,1,0,1,0,0,0,4,0
2023,8/18/2023,Anton Larsen,Eelgrass patches,2,0,0,0,0,0,0,5,0
2023,7/15/2023,Anton Larsen,Eelgrass point,11,0,0,4,0,0,0,6,0
2023,8/17/2023,Anton Larsen,Eelgrass point,91,22,2,1,0,0,0,3,0
2023,8/18/2023,Anton Larsen,Eelgrass point,41,10,0,2,0,0,0,0,0
2023,7/15/2023,Anton Larsen,Laminaria #2,0,0,0,3,0,0,0,4,12
2023,7/17/2023,Anton Larsen,Laminaria #2,0,0,0,8,0,0,0,0,106
2023,8/17/2023,Anton Larsen,Laminaria #2,1,0,0,1,0,0,0,0,15
2023,8/18/2023,Anton Larsen,Laminaria #2,0,0,0,0,0,0,0,0,3
2023,7/15/2023,Anton Larsen,Laminaria Point,6,0,0,4,0,0,0,1,1
2023,7/17/2023,Anton Larsen,Laminaria Point,6,0,0,8,0,0,0,0,0
2023,8/17/2023,Anton Larsen,Laminaria Point,20,0,0,0,0,0,0,3,0
2023,8/18/2023,Anton Larsen,Laminaria Point,2,0,0,2,0,0,0,0,4
2023,7/15/2023,Anton Larsen,White rock,2,0,0,2,0,0,0,1,2
2023,7/17/2023,Anton Larsen,White rock,0,0,0,5,0,0,0,0,0
2023,8/17/2023,Anton Larsen,White rock,4,0,0,0,0,0,0,0,0
2023,8/18/2023,Anton Larsen,White rock,1,0,0,0,0,0,0,0,0
2023,7/15/2023,Anton Larsen,Wooden boat,0,0,0,10,0,0,0,138,20
2023,7/17/2023,Anton Larsen,Wooden boat,0,0,0,8,0,0,0,8,8
2023,8/17/2023,Anton Larsen,Wooden boat,0,0,0,0,0,0,0,0,0
2023,8/18/2023,Anton Larsen,Wooden boat,1,0,0,0,0,0,0,1,0
2023,7/14/2023,Cook,Bare North,0,0,0,0,0,0,0,0,0
2023,7/16/2023,Cook,Bare North,0,0,0,0,0,0,0,0,0
2023,8/19/2023,Cook,Bare North,0,0,0,0,0,0,0,0,0
2023,8/20/2023,Cook,Bare North,0,0,0,0,0,0,0,0,0
2023,7/14/2023,Cook,Eelgrass North,2,0,0,0,0,0,1,0,0
2023,7/16/2023,Cook,Eelgrass North,0,0,0,0,0,0,0,0,0
2023,8/19/2023,Cook,Eelgrass North,13,0,1,0,0,0,0,0,0
2023,8/20/2023,Cook,Eelgrass North,16,0,0,0,0,0,0,0,0
2023,7/14/2023,Cook,Eelgrass South,3,1,0,0,0,0,0,0,0
2023,7/16/2023,Cook,Eelgrass South,5,0,0,2,0,0,0,0,0
2023,8/19/2023,Cook,Eelgrass South,53,0,0,0,0,0,0,0,0
2023,8/20/2023,Cook,Eelgrass South,48,0,0,0,0,0,0,0,0
2023,7/14/2023,Cook,Eelgrass West,342,15,0,17,0,1,0,0,0
2023,7/16/2023,Cook,Eelgrass West,95,3,0,6,0,0,0,0,0
2023,8/19/2023,Cook,Eelgrass West,470,45,2,1,0,0,0,0,0
2023,8/20/2023,Cook,Eelgrass West,379,60,1,12,0,0,0,0,0
2023,7/14/2023,Cook,Laminaria East,145,7,0,1,0,0,0,0,0
2023,7/16/2023,Cook,Laminaria East,16,1,0,0,0,0,0,0,0
2023,8/19/2023,Cook,Laminaria East,74,0,0,0,0,0,0,0,0
2023,8/20/2023,Cook,Laminaria East,71,0,0,0,0,0,0,0,1
2023,7/14/2023,Cook,Laminaria North,5,0,0,0,0,0,0,0,0
2023,7/16/2023,Cook,Laminaria North,0,0,0,0,0,0,0,0,0
2023,8/19/2023,Cook,Laminaria North,0,0,11,0,0,0,0,0,3
2023,8/20/2023,Cook,Laminaria North,2,0,0,0,0,0,0,0,0
2023,7/14/2023,Cook,Laminaria South,88,7,0,0,0,0,0,0,0
2023,7/16/2023,Cook,Laminaria South,30,8,0,0,0,0,0,0,0
2023,8/19/2023,Cook,Laminaria South,9,0,0,0,0,0,0,0,0
2023,8/20/2023,Cook,Laminaria South,25,0,0,0,0,0,0,0,0
2023,7/14/2023,Cook,Middle Cove,0,0,0,10,0,0,0,0,0
2023,7/16/2023,Cook,Middle Cove,0,0,0,6,0,0,0,0,0
2023,8/19/2023,Cook,Middle Cove,39,1,0,2,0,0,0,0,0
2023,8/20/2023,Cook,Middle Cove,23,0,0,0,0,0,0,0,0
