specimen,Era,poly,Gammarid,Caprellid,harp_cope,Idothea,Gnor,crab,shrimp,nematode,fish,mollusc,mysid
COD-0104,A,1,1.675631058,1,1,1,1,1,1,1,3.114702393,1,1
COD-0105,A,2.975598628,1,1,1,1,1,1,2.204161941,1,1,1,1
COD-0106,A,2.463192579,1,1,1,1,1,1,1,1.054410874,2.838882759,1,1
COD-0107,A,1.813990105,1.440642439,1,1,1,1,2.657636194,2.498652097,1,1,1,1
COD-0108,A,1,2.292526267,1,1,1,1,1,2.936709063,1,1,1,1
COD-0109,A,2.640447431,2.127330691,1,1,2.373359711,1,1.335639566,1,1,1,1,1
COD-0110,A,3.17015388,1,1,1,1,1,1,1,1,1,1,1
COD-0112,A,3.17015388,1,1,1,1,1,1,1,1,1,1,1
COD-0113,A,1,1.204148767,1,1.019468168,1,1,1,1,1,3.059128253,1,1
COD-0114,A,1.891542874,1.314684557,1,1,1,1,1,1,1.423600831,3.028334626,1,1
COD-0115,A,3.056368687,1,1,1,1,1,1,1,1,1.662797645,1,1
COD-0116,A,2.361473865,1,1,1,1,1,1,2.428213375,1,1,1,1.541571958
COD-0117,A,3.17015388,1,1,1,1,1,1,1,1,1,1,1
COD-0118,A,1,1,1,1,1,1,1,1.728227273,1,3.106083809,1,1
COD-0119,A,3.144069645,1.438618184,1,1,1,1,1,1,1,1,1,1
COD-0120,A,2.443915098,1,1,1,1,1,1,1,1.025328902,2.852656936,1,1
COD-0121,A,3.17015388,1,1,1,1,1,1,1,1,1,1,1
COD-0159,A,3.060586358,1.285110392,1,1,1,1,1,1.734724595,1,1,1,1.280937359
COD-0122,B,2.473101016,2.716581458,1,1,1,1.474064813,1,1,1,1.457805565,1.008236183,1
COD-0123,B,2.386069024,2.768865432,1,1,1,1,1,1.303382397,1,1,1,1
COD-0124,B,1.450838486,2.891742818,1,1,1,1.86201854,1.983854401,1,1,1,1.104047571,1
COD-0125,B,2.765140223,2.547999186,1,1,1,1,1,1,1,1,1,1
COD-0126,B,1.325079264,1.616793868,1,1,1,1.360535179,1,1,1,3.085680535,1,1
COD-0127,B,2.353358164,1.195131829,1,1,1,1,1,1,1.771459182,2.799704633,1,1
COD-0128,B,3.144453699,1,1,1,1,1,1,1,1.148486393,1,1,1
COD-0129,B,2.776819615,2.50258708,1,1.014554783,1,1,1,1,1,1,1,1
COD-0130,B,3.050075175,1,1,1,1,1,1,1.590825948,1.780515008,1,1,1
COD-0131,B,2.655781364,1.415657704,1,1,1,1,1,1,1.452635067,2.601222913,1,1
COD-0132,B,3.055734599,1.938990966,1.137737981,1,1,1,1,1,1,1,1,1
COD-0133,B,3.084394605,1,1,1,1,1,1,1.450660926,1.685195221,1,1,1
COD-0134,B,2.831036404,2.048718555,1,1,1,1,1,1.964310202,1.64138891,1,1,1
COD-0135,B,2.868222953,2.342235213,1,1,1,1,1,1,1.511854392,1,1,1
COD-0136,B,2.689536548,1.729882485,1,1,2.259175865,1.869963642,1,1,1.114683458,1,1,1
COD-0137,B,3.10419574,1.148037968,1,1,1,1,1,1.649394816,1,1,1,1
COD-0138,B,1,3.132964816,1,1,1,1,1,1,1,1.185905419,1,1
COD-0139,B,3.057269092,1.756175946,1.573080758,1,1,1,1,1,1,1,1,1
COD-0140,B,1,3.011229417,1,1,1,1.856067743,1.727823486,1,1,1,1,1
COD-0141,B,1,1,3.150054909,1,1,1,1,1,1,1,1,1
COD-0142,B,3.105968342,1.568818394,1,1,1,1,1,1,1.403229524,1,1,1
COD-0143,B,1,3.153455754,1,1,1,1,1,1,1,1,1,1
COD-0144,B,2.502120434,1.81792719,1,1,1,1,1,2.661793937,1,1,1,1.385358826
COD-0145,B,3.108907891,1.43015591,1,1,1.104656709,1.488522704,1,1,1,1,1,1
COD-0146,B,1,2.889778885,1.59085544,1,1,2.276519187,1,1,1,1,1,1
COD-0147,B,2.568623668,2.738162724,1,1,1,1,1,1,1,1.34325685,1,1
COD-0148,B,3.17015388,1,1,1,1,1,1,1,1,1,1,1
COD-0149,B,2.836493594,1.637226609,2.332255479,1.003441444,1,1,1,1,1,1,1,1
COD-0150,B,2.993892927,2.157259274,1,1,1,1,1,1,1,1,1,1
COD-0151,B,3.150505497,1.365900706,1,1,1,1,1,1,1,1,1,1
COD-0152,B,1,2.400709584,1,1,1,1,1,2.876364477,1,1,1,1
COD-0153,B,1.33748061,3.101659404,1.539790636,1,1,1,1.073609207,1,1,1,1,1
COD-0154,B,1.982290253,2.958255305,1.777227438,1,1,1,1,1,1,1,1,1
COD-0155,B,3.075461346,1.861425753,1,1,1,1,1,1,1,1,1,1
COD-0156,B,2.499119067,2.75426158,1,1,1,1,1.401719962,1,1,1,1,1
COD-0157,B,2.774072887,1.754097812,1,1,2.028414241,1,1,2.062877217,1,1.022635347,1,1
COD-0158,B,3.09511801,1.777144977,1,1,1,1,1.058169273,1,1,1,1,1
