year,age,tot_num
1990,1,6187382
1990,2,12639498
1990,3,46464363
1990,4,49126474
1990,5,39536456
1993,1,16547268
1993,2,14903445
1993,3,40957173
1993,4,57619439
1993,5,49055830
1996,1,76944876
1996,2,21252717
1996,3,39108753
1996,4,42901533
1996,5,51537817
1999,1,9386687
1999,2,6523863
1999,3,23586599
1999,4,38392854
1999,5,43734318
2001,1,21476762
2001,2,17263217
2001,3,34330665
2001,4,30856506
2001,5,22911567
2003,1,5336305
2003,2,5503017
2003,3,29216555
2003,4,42446761
2003,5,42608359
2005,1,9750514
2005,2,10393307
2005,3,14958432
2005,4,21941310
2005,5,37416888
2007,1,60226208
2007,2,23710299
2007,3,45308553
2007,4,21264563
2007,5,17756739
2009,1,148494081
2009,2,42312129
2009,3,147467707
2009,4,129691886
2009,5,74125645
2011,1,9048064
2011,2,36568100
2011,3,140560014
2011,4,97074308
2011,5,51470617
2013,1,74773933
2013,2,21447959
2013,3,69400021
2013,4,58197426
2013,5,63385199
2015,1,12370349
2015,2,33244497
2015,3,88427563
2015,4,44604169
2015,5,10417297
2017,1,7816193
2017,2,1809311
2017,3,4180915
2017,4,16579703
2017,5,13143044
2019,1,19270048
2019,2,34772148
2019,3,42616923
2019,4,9561768
2019,5,6551457
2021,1,10698663
2021,2,4556630
2021,3,21743382
2021,4,31486677
2021,5,11574719
2023,1,13779113
2023,2,36510915
2023,3,35399183
2023,4,24681345
2023,5,20636105
