trawl_year,cohort_year,cohort_age,age,total_num
1990,1990,1,1,6187382
1990,1990,1,4,57619439
1990,1989,2,2,12639498
1990,1989,2,5,49055830
1993,1993,1,1,16547268
1993,1993,1,4,42901533
1993,1992,2,2,14903445
1993,1992,2,5,51537817
1996,1996,1,1,76944876
1996,1996,1,4,38392854
1996,1995,2,2,21252717
1996,1995,2,5,43734318
1999,1999,1,1,9386687
1999,1999,1,3,34330665
1999,1998,2,2,6523863
1999,1998,2,4,30856506
2001,2001,1,1,21476762
2001,2001,1,3,29216555
2001,2000,2,2,17263217
2001,2000,2,4,42446761
2003,2003,1,1,5336305
2003,2003,1,3,14958432
2003,2002,2,2,5503017
2003,2002,2,4,21941310
2005,2005,1,1,9750514
2005,2005,1,3,45308553
2005,2004,2,2,10393307
2005,2004,2,4,21264563
2007,2007,1,1,60226208
2007,2007,1,3,147467707
2007,2006,2,2,23710299
2007,2006,2,4,129691886
2009,2009,1,1,148494081
2009,2009,1,3,140560014
2009,2008,2,2,42312129
2009,2008,2,4,97074308
2011,2011,1,1,9048064
2011,2011,1,3,69400021
2011,2010,2,2,36568100
2011,2010,2,4,58197426
2013,2013,1,1,74773933
2013,2013,1,3,88427563
2013,2012,2,2,21447959
2013,2012,2,4,44604169
2015,2015,1,1,12370349
2015,2015,1,3,4180915
2015,2014,2,2,33244497
2015,2014,2,4,16579703
2017,2017,1,1,7816193
2017,2017,1,3,42616923
2017,2016,2,2,1809311
2017,2016,2,4,9561768
2019,2019,1,1,19270048
2019,2019,1,3,21743382
2019,2018,2,2,34772148
2019,2018,2,4,31486677
2021,2021,1,1,10698663
2021,2021,1,3,35399183
2021,2020,2,2,4556630
2021,2020,2,4,24681345
