"year","temp","LCI_95%","UCI_95%"
"2006",10.6716505566765,10.0288600815884,11.3235829419747
"2007",9.72465871922284,9.04997002900231,10.3879927583621
"2008",10.4425602822333,9.74587503325001,11.1273039029602
"2009",11.0420442961393,10.4058832221614,11.6754251305868
"2010",10.5899966930405,9.95874337174118,11.2105036160518
"2011",10.5954616005459,9.9290236469133,11.2634474010477
"2012",10.1564063457599,9.51265841654576,10.8168664442506
"2013",11.1410454796463,10.5624662109896,11.711670537761
"2014",11.5040726679882,10.8386012394452,12.1655919319997
"2015",11.9458450812682,11.2644886132676,12.6285008715854
"2016",13.0668614366973,12.2796527172559,13.874922157077
"2017",11.1621581974366,10.3574379868135,12.0011940552895
"2018",10.3474398055815,9.79087094742132,10.9151726275403
"2019",12.6623660395086,12.0844726463047,13.2362982800699
"2020",11.8700837481661,11.2938457668947,12.4370461659008
"2021",10.5480406166112,9.9675840898787,11.1360515780439
